"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 27 01:45:09 GMT+03:00 2020","Sun Dec 27 01:45:17 GMT+03:00 2020","7878","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sun Dec 27 01:41:51 GMT+03:00 2020","Sun Dec 27 01:41:56 GMT+03:00 2020","5047","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"broken","Sun Dec 27 01:46:07 GMT+03:00 2020","Sun Dec 27 01:46:15 GMT+03:00 2020","7756","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"skipped","Sun Dec 27 01:42:16 GMT+03:00 2020","Sun Dec 27 01:42:16 GMT+03:00 2020","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0]",""
"passed","Sun Dec 27 01:45:36 GMT+03:00 2020","Sun Dec 27 01:45:49 GMT+03:00 2020","13658","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"skipped","Sun Dec 27 01:43:29 GMT+03:00 2020","Sun Dec 27 01:43:29 GMT+03:00 2020","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9]",""
"skipped","Sun Dec 27 01:43:12 GMT+03:00 2020","Sun Dec 27 01:43:12 GMT+03:00 2020","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7]",""
"skipped","Sun Dec 27 01:42:55 GMT+03:00 2020","Sun Dec 27 01:42:55 GMT+03:00 2020","1","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5]",""
"passed","Sun Dec 27 01:41:26 GMT+03:00 2020","Sun Dec 27 01:41:30 GMT+03:00 2020","4624","module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"broken","Sun Dec 27 01:43:37 GMT+03:00 2020","Sun Dec 27 01:43:52 GMT+03:00 2020","15717","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"skipped","Sun Dec 27 01:43:20 GMT+03:00 2020","Sun Dec 27 01:43:20 GMT+03:00 2020","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8]",""
"skipped","Sun Dec 27 01:42:32 GMT+03:00 2020","Sun Dec 27 01:42:32 GMT+03:00 2020","1","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2]",""
"passed","Sun Dec 27 01:44:16 GMT+03:00 2020","Sun Dec 27 01:44:35 GMT+03:00 2020","18661","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"skipped","Sun Dec 27 01:42:24 GMT+03:00 2020","Sun Dec 27 01:42:24 GMT+03:00 2020","1","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1]",""
"skipped","Sun Dec 27 01:43:04 GMT+03:00 2020","Sun Dec 27 01:43:04 GMT+03:00 2020","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6]",""
"passed","Sun Dec 27 01:42:04 GMT+03:00 2020","Sun Dec 27 01:42:08 GMT+03:00 2020","4116","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"skipped","Sun Dec 27 01:42:39 GMT+03:00 2020","Sun Dec 27 01:42:39 GMT+03:00 2020","1","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3]",""
"skipped","Sun Dec 27 01:44:00 GMT+03:00 2020","Sun Dec 27 01:44:07 GMT+03:00 2020","6896","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sun Dec 27 01:46:23 GMT+03:00 2020","Sun Dec 27 01:46:27 GMT+03:00 2020","4369","module_5","test_screenshots","","","","test_item_page_has_add_basket_button",""
"skipped","Sun Dec 27 01:44:42 GMT+03:00 2020","Sun Dec 27 01:44:49 GMT+03:00 2020","6853","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sun Dec 27 01:44:57 GMT+03:00 2020","Sun Dec 27 01:45:01 GMT+03:00 2020","4310","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"skipped","Sun Dec 27 01:42:47 GMT+03:00 2020","Sun Dec 27 01:42:47 GMT+03:00 2020","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4]",""
"passed","Sun Dec 27 01:41:38 GMT+03:00 2020","Sun Dec 27 01:41:44 GMT+03:00 2020","5436","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
